Frase,Sentimiento,Etiqueta
la aplicación fue me dejó molesto,Negativo,1
la verdad la plataforma fue quedé muy conforme,Positivo,0
el servicio estuvo vale la pena,Positivo,0
mi experiencia con el proceso fue me hizo perder tiempo,Negativo,1
lamentablemente el trámite fue frustrante,Negativo,1
el producto fue una maravilla,Positivo,0
mi experiencia con la atención fue decepcionante,Negativo,1
en general la aplicación fue malísimo,Negativo,1
la verdad la atención fue me fue excelente,Positivo,0
mi experiencia con la experiencia fue funciona mal,Negativo,1
lamentablemente el servicio fue muy chafa,Negativo,1
lamentablemente el trámite fue muy deficiente,Negativo,1
lamentablemente el trámite fue horrible,Negativo,1
lamentablemente la compra fue horrible,Negativo,1
la aplicación fue decepcionante,Negativo,1
mi experiencia con el sistema fue bien padre,Positivo,0
el sistema fue muy deficiente,Negativo,1
mi experiencia con el trámite fue no sirve,Negativo,1
el producto estuvo me fue mal,Negativo,1
mi experiencia con la aplicación fue nada recomendable,Negativo,1
el producto estuvo rápido y eficiente,Positivo,0
mi experiencia con la compra fue me sacó de quicio,Negativo,1
la experiencia fue una porquería,Negativo,1
la aplicación estuvo pésimo servicio,Negativo,1
en general la experiencia fue muy mala atención,Negativo,1
la verdad el producto fue muy bueno,Positivo,0
la atención estuvo muy bueno,Positivo,0
en general la aplicación fue padrísimo,Positivo,0
en general la experiencia fue muy bien hecho,Positivo,0
la verdad el trámite fue me gustó mucho,Positivo,0
en general la aplicación fue me dejó satisfecho,Positivo,0
lamentablemente la aplicación fue me hizo perder tiempo,Negativo,1
la aplicación estuvo nada recomendable,Negativo,1
el sistema estuvo me dejó contento,Positivo,0
el trámite fue pésimo,Negativo,1
la verdad la atención fue jala bien,Positivo,0
lamentablemente el trámite fue me sacó de quicio,Negativo,1
el producto fue frustrante,Negativo,1
el sistema estuvo fatal,Negativo,1
la compra fue sin problemas,Positivo,0
en general la atención fue muy bueno,Positivo,0
mi experiencia con el sistema fue muy satisfecho,Positivo,0
en general el trámite fue excelente,Positivo,0
el sistema estuvo está horrible,Negativo,1
el producto fue mal atendido,Negativo,1
la experiencia fue de lo mejor,Positivo,0
mi experiencia con la aplicación fue genial,Positivo,0
la verdad el producto fue muy bien hecho,Positivo,0
mi experiencia con la experiencia fue no sirve,Negativo,1
mi experiencia con el sistema fue funciona perfecto,Positivo,0
en general la compra fue mal atendido,Negativo,1
el proceso estuvo funciona mal,Negativo,1
el trámite estuvo muy bien logrado,Positivo,0
mi experiencia con la aplicación fue funciona al cien,Positivo,0
lamentablemente la plataforma fue mala experiencia,Negativo,1
el servicio estuvo quedé muy conforme,Positivo,0
lamentablemente el servicio fue mal atendido,Negativo,1
el producto fue quedé muy conforme,Positivo,0
mi experiencia con el trámite fue no lo recomiendo,Negativo,1
la atención estuvo nada recomendable,Negativo,1
mi experiencia con el producto fue me gustó mucho,Positivo,0
la experiencia estuvo muy bien logrado,Positivo,0
en general la plataforma fue recomendadísimo,Positivo,0
en general el servicio fue muy lento,Negativo,1
en general la compra fue un desastre,Negativo,1
en general el sistema fue rápido y eficiente,Positivo,0
lamentablemente el sistema fue pésimo servicio,Negativo,1
en general el trámite fue me dejó molesto,Negativo,1
en general el trámite fue todo perfecto,Positivo,0
la atención fue de lo mejor,Positivo,0
en general el producto fue excelente,Positivo,0
la aplicación estuvo no sirve,Negativo,1
la experiencia estuvo terrible,Negativo,1
lamentablemente la plataforma fue me decepcionó,Negativo,1
la experiencia fue fatal,Negativo,1
la verdad la plataforma fue muy buen servicio,Positivo,0
el producto fue vale la pena,Positivo,0
el producto estuvo terrible,Negativo,1
el trámite fue me decepcionó,Negativo,1
la experiencia fue pésimo servicio,Negativo,1
mi experiencia con la compra fue pésimo servicio,Negativo,1
mi experiencia con el sistema fue me encantó,Positivo,0
el producto estuvo bien padre,Positivo,0
en general la aplicación fue todo de lujo,Positivo,0
en general la experiencia fue me fue mal,Negativo,1
en general el servicio fue una joya,Positivo,0
la plataforma estuvo me gustó mucho,Positivo,0
la verdad el proceso fue quedé muy conforme,Positivo,0
la verdad la plataforma fue me gustó mucho,Positivo,0
la verdad la compra fue excelente,Positivo,0
mi experiencia con la plataforma fue recomendadísimo,Positivo,0
en general el producto fue de lo mejor,Positivo,0
en general el sistema fue muy malo,Negativo,1
el trámite estuvo muy flojo,Negativo,1
la aplicación fue me hizo perder tiempo,Negativo,1
la verdad el producto fue me encantó,Positivo,0
la experiencia estuvo no lo recomiendo,Negativo,1
el proceso estuvo no lo recomiendo,Negativo,1
la plataforma fue todo perfecto,Positivo,0
el producto estuvo muy malo,Negativo,1
el producto estuvo una maravilla,Positivo,0
el servicio estuvo muy mala atención,Negativo,1
la aplicación fue mal atendido,Negativo,1
el proceso estuvo muy recomendable,Positivo,0
lamentablemente la plataforma fue funciona fatal,Negativo,1
el sistema estuvo muy satisfecho,Positivo,0
mi experiencia con la plataforma fue pésimo,Negativo,1
el producto estuvo muy satisfecho,Positivo,0
lamentablemente la atención fue fatal,Negativo,1
la verdad el proceso fue me sorprendió,Positivo,0
la plataforma estuvo está chido,Positivo,0
la verdad el servicio fue muy bien hecho,Positivo,0
la verdad el servicio fue todo salió bien,Positivo,0
lamentablemente la aplicación fue mala experiencia,Negativo,1
en general el proceso fue un desastre,Negativo,1
la aplicación fue me fue mal,Negativo,1
mi experiencia con la compra fue me dejó molesto,Negativo,1
la atención estuvo una pérdida de tiempo,Negativo,1
mi experiencia con el trámite fue muy mal hecho,Negativo,1
mi experiencia con el trámite fue jala bien,Positivo,0
la plataforma fue mal atendido,Negativo,1
la atención fue horrible,Negativo,1
en general el producto fue decepcionante,Negativo,1
la aplicación fue cumple totalmente,Positivo,0
mi experiencia con la aplicación fue muy buena experiencia,Positivo,0
la plataforma estuvo todo salió excelente,Positivo,0
en general el producto fue todo salió bien,Positivo,0
la atención estuvo horrible,Negativo,1
mi experiencia con el trámite fue muy malo,Negativo,1
el trámite estuvo todo perfecto,Positivo,0
en general la plataforma fue todo de lujo,Positivo,0
la experiencia fue terrible,Negativo,1
en general la experiencia fue nada recomendable,Negativo,1
la verdad la plataforma fue muy bien hecho,Positivo,0
en general el sistema fue pésimo,Negativo,1
en general el proceso fue todo de lujo,Positivo,0
el proceso estuvo muy deficiente,Negativo,1
el proceso fue pésimo,Negativo,1
en general la plataforma fue frustrante,Negativo,1
la compra fue mal atendido,Negativo,1
la aplicación fue mala experiencia,Negativo,1
mi experiencia con la atención fue cumple totalmente,Positivo,0
mi experiencia con el proceso fue no vale la pena,Negativo,1
en general el proceso fue me fue excelente,Positivo,0
la aplicación estuvo pésimo,Negativo,1
mi experiencia con el sistema fue no cumplió,Negativo,1
la verdad la aplicación fue todo perfecto,Positivo,0
mi experiencia con el sistema fue de primera,Positivo,0
mi experiencia con la plataforma fue muy chafa,Negativo,1
en general el servicio fue funciona fatal,Negativo,1
mi experiencia con la plataforma fue muy deficiente,Negativo,1
en general la aplicación fue no sirve,Negativo,1
mi experiencia con la compra fue cumple totalmente,Positivo,0
el producto fue horrible,Negativo,1
el sistema estuvo jala bien,Positivo,0
en general la plataforma fue una joya,Positivo,0
mi experiencia con el trámite fue frustrante,Negativo,1
en general el trámite fue cumple totalmente,Positivo,0
en general la plataforma fue nada recomendable,Negativo,1
mi experiencia con el proceso fue cumple totalmente,Positivo,0
la atención estuvo una basura,Negativo,1
mi experiencia con la compra fue una pérdida de tiempo,Negativo,1
en general la aplicación fue rápido y eficiente,Positivo,0
mi experiencia con la atención fue me sacó de quicio,Negativo,1
mi experiencia con la experiencia fue una basura,Negativo,1
la plataforma fue terrible,Negativo,1
lamentablemente el proceso fue funciona fatal,Negativo,1
la verdad el servicio fue bien padre,Positivo,0
en general la plataforma fue pésimo,Negativo,1
en general el sistema fue está horrible,Negativo,1
el trámite fue un desastre,Negativo,1
la verdad la atención fue quedé muy conforme,Positivo,0
mi experiencia con el servicio fue muy satisfecho,Positivo,0
el sistema fue jala bien,Positivo,0
la verdad el proceso fue muy recomendable,Positivo,0
la verdad el trámite fue genial,Positivo,0
la compra estuvo excelente,Positivo,0
mi experiencia con el proceso fue muy flojo,Negativo,1
en general el producto fue me hizo perder tiempo,Negativo,1
el sistema fue todo perfecto,Positivo,0
en general el sistema fue muy buen servicio,Positivo,0
mi experiencia con la aplicación fue jala bien,Positivo,0
lamentablemente el producto fue me dejó molesto,Negativo,1
lamentablemente el proceso fue una basura,Negativo,1
la compra estuvo no vale la pena,Negativo,1
en general el sistema fue funciona perfecto,Positivo,0
mi experiencia con el sistema fue una joya,Positivo,0
la aplicación estuvo horrible,Negativo,1
la atención fue todo salió bien,Positivo,0
mi experiencia con el sistema fue malísimo,Negativo,1
en general el producto fue muy satisfecho,Positivo,0
la compra fue funciona fatal,Negativo,1
en general la aplicación fue todo salió excelente,Positivo,0
el trámite estuvo jala bien,Positivo,0
el servicio estuvo muy satisfecho,Positivo,0
en general la atención fue padrísimo,Positivo,0
la atención estuvo experiencia horrible,Negativo,1
lamentablemente la atención fue muy flojo,Negativo,1
lamentablemente el producto fue malísimo,Negativo,1
la compra estuvo me fue mal,Negativo,1
la verdad la experiencia fue me dejó contento,Positivo,0
mi experiencia con la compra fue me dejó contento,Positivo,0
lamentablemente el trámite fue no vale la pena,Negativo,1
la experiencia fue muy flojo,Negativo,1
la atención estuvo rápido y eficiente,Positivo,0
el producto fue padrísimo,Positivo,0
lamentablemente la experiencia fue no sirve,Negativo,1
en general la atención fue no sirve,Negativo,1
mi experiencia con el trámite fue bien padre,Positivo,0
la verdad la aplicación fue recomendadísimo,Positivo,0
mi experiencia con el sistema fue pésimo,Negativo,1
el trámite fue funciona fatal,Negativo,1
mi experiencia con la plataforma fue todo de lujo,Positivo,0
lamentablemente la plataforma fue terrible,Negativo,1
mi experiencia con la aplicación fue muy flojo,Negativo,1
mi experiencia con el servicio fue todo perfecto,Positivo,0
mi experiencia con el sistema fue vale la pena,Positivo,0
el proceso fue muy recomendable,Positivo,0
mi experiencia con la aplicación fue no sirve,Negativo,1
la compra estuvo muy flojo,Negativo,1
la experiencia estuvo funciona perfecto,Positivo,0
la experiencia estuvo una maravilla,Positivo,0
el producto fue mala experiencia,Negativo,1
la atención estuvo no vale la pena,Negativo,1
el proceso fue excelente,Positivo,0
la verdad la atención fue vale la pena,Positivo,0
lamentablemente el trámite fue no cumplió,Negativo,1
el producto fue me encantó,Positivo,0
la verdad la atención fue funciona al cien,Positivo,0
el producto estuvo me sorprendió,Positivo,0
la verdad la atención fue muy satisfecho,Positivo,0
en general el proceso fue me sorprendió,Positivo,0
en general el trámite fue funciona mal,Negativo,1
el proceso estuvo frustrante,Negativo,1
en general el servicio fue padrísimo,Positivo,0
el servicio estuvo jala bien,Positivo,0
en general la experiencia fue muy chafa,Negativo,1
mi experiencia con el servicio fue me dejó molesto,Negativo,1
la verdad el proceso fue muy bueno,Positivo,0
el producto fue pésimo servicio,Negativo,1
el proceso fue me sacó de quicio,Negativo,1
en general la aplicación fue muy satisfecho,Positivo,0
en general la experiencia fue muy bien logrado,Positivo,0
mi experiencia con la atención fue me fue mal,Negativo,1
el sistema estuvo todo salió excelente,Positivo,0
mi experiencia con la atención fue muy deficiente,Negativo,1
mi experiencia con el trámite fue rápido y eficiente,Positivo,0
en general la aplicación fue una pérdida de tiempo,Negativo,1
la aplicación estuvo funciona perfecto,Positivo,0
la aplicación fue muy buen servicio,Positivo,0
la verdad la aplicación fue está chido,Positivo,0
el sistema estuvo no cumplió,Negativo,1
mi experiencia con el proceso fue vale la pena,Positivo,0
el producto fue todo salió excelente,Positivo,0
la verdad el proceso fue vale la pena,Positivo,0
la experiencia estuvo padrísimo,Positivo,0
el servicio fue funciona al cien,Positivo,0
el producto fue una basura,Negativo,1
mi experiencia con la compra fue no vale la pena,Negativo,1
el trámite estuvo sin problemas,Positivo,0
en general el proceso fue frustrante,Negativo,1
la experiencia estuvo genial,Positivo,0
lamentablemente la experiencia fue horrible,Negativo,1
el sistema estuvo funciona fatal,Negativo,1
mi experiencia con el servicio fue funciona perfecto,Positivo,0
mi experiencia con el trámite fue me fue mal,Negativo,1
en general el servicio fue de lo mejor,Positivo,0
en general la aplicación fue no vale la pena,Negativo,1
lamentablemente el proceso fue me decepcionó,Negativo,1
el trámite fue funciona perfecto,Positivo,0
la plataforma fue nada recomendable,Negativo,1
el producto fue me dejó satisfecho,Positivo,0
mi experiencia con el proceso fue funciona fatal,Negativo,1
el sistema fue muy bueno,Positivo,0
la experiencia fue muy bien hecho,Positivo,0
en general el producto fue todo de lujo,Positivo,0
el servicio estuvo pésimo servicio,Negativo,1
la experiencia fue jala bien,Positivo,0
la verdad el servicio fue me encantó,Positivo,0
en general el servicio fue una maravilla,Positivo,0
en general el proceso fue me gustó mucho,Positivo,0
la verdad la compra fue me dejó satisfecho,Positivo,0
el proceso fue está horrible,Negativo,1
el producto estuvo muy recomendable,Positivo,0
en general la atención fue bien padre,Positivo,0
el proceso fue una porquería,Negativo,1
en general la aplicación fue muy lento,Negativo,1
lamentablemente el servicio fue fatal,Negativo,1
lamentablemente la aplicación fue me sacó de quicio,Negativo,1
en general la aplicación fue me encantó,Positivo,0
la experiencia fue me dejó contento,Positivo,0
el trámite estuvo muy buen servicio,Positivo,0
en general el proceso fue excelente,Positivo,0
mi experiencia con el sistema fue todo de lujo,Positivo,0
la verdad el producto fue excelente,Positivo,0
el trámite fue frustrante,Negativo,1
lamentablemente el trámite fue no lo recomiendo,Negativo,1
mi experiencia con la experiencia fue no lo recomiendo,Negativo,1
el servicio estuvo una porquería,Negativo,1
lamentablemente el proceso fue muy mal hecho,Negativo,1
el trámite fue no vale la pena,Negativo,1
en general el proceso fue muy buena experiencia,Positivo,0
el sistema fue no sirve,Negativo,1
el trámite fue una maravilla,Positivo,0
en general el proceso fue me decepcionó,Negativo,1
el sistema fue una pérdida de tiempo,Negativo,1
la compra estuvo decepcionante,Negativo,1
la compra estuvo me gustó mucho,Positivo,0
la verdad la plataforma fue funciona perfecto,Positivo,0
en general el producto fue jala bien,Positivo,0
la aplicación estuvo muy satisfecho,Positivo,0
la atención fue mal atendido,Negativo,1
el proceso fue muy mal hecho,Negativo,1
mi experiencia con el proceso fue mal atendido,Negativo,1
lamentablemente el sistema fue muy mala atención,Negativo,1
el proceso estuvo muy lento,Negativo,1
la verdad el trámite fue funciona perfecto,Positivo,0
en general el sistema fue muy lento,Negativo,1
el servicio fue horrible,Negativo,1
la atención estuvo todo salió bien,Positivo,0
la verdad el producto fue genial,Positivo,0
lamentablemente la experiencia fue mala experiencia,Negativo,1
el proceso fue me dejó molesto,Negativo,1
en general la plataforma fue padrísimo,Positivo,0
el sistema estuvo no lo recomiendo,Negativo,1
el producto fue una joya,Positivo,0
la plataforma estuvo frustrante,Negativo,1
la plataforma fue me dejó contento,Positivo,0
la experiencia fue horrible,Negativo,1
en general la aplicación fue funciona perfecto,Positivo,0
el sistema fue frustrante,Negativo,1
mi experiencia con el sistema fue una maravilla,Positivo,0
mi experiencia con la compra fue me fue mal,Negativo,1
la verdad el trámite fue muy satisfecho,Positivo,0
el producto estuvo una pérdida de tiempo,Negativo,1
en general la experiencia fue muy lento,Negativo,1
en general la plataforma fue pésimo servicio,Negativo,1
la aplicación estuvo experiencia horrible,Negativo,1
la verdad el trámite fue de lo mejor,Positivo,0
en general el sistema fue me decepcionó,Negativo,1
mi experiencia con el proceso fue recomendadísimo,Positivo,0
en general la atención fue sin problemas,Positivo,0
lamentablemente el proceso fue frustrante,Negativo,1
la experiencia estuvo me dejó satisfecho,Positivo,0
en general la experiencia fue me dejó satisfecho,Positivo,0
en general la atención fue muy mal hecho,Negativo,1
la verdad la aplicación fue una maravilla,Positivo,0
en general la aplicación fue me sacó de quicio,Negativo,1
lamentablemente el sistema fue muy lento,Negativo,1
la verdad la compra fue muy bueno,Positivo,0
la experiencia fue muy bueno,Positivo,0
la compra fue vale la pena,Positivo,0
la aplicación fue jala bien,Positivo,0
la aplicación estuvo me fue excelente,Positivo,0
lamentablemente la plataforma fue me fue mal,Negativo,1
en general la aplicación fue me sorprendió,Positivo,0
mi experiencia con la plataforma fue no cumplió,Negativo,1
la verdad el trámite fue muy bien logrado,Positivo,0
el producto estuvo me gustó mucho,Positivo,0
el trámite estuvo no vale la pena,Negativo,1
en general la plataforma fue muy lento,Negativo,1
la aplicación fue muy mal hecho,Negativo,1
lamentablemente la compra fue decepcionante,Negativo,1
la aplicación estuvo malísimo,Negativo,1
mi experiencia con el producto fue me dejó molesto,Negativo,1
la experiencia estuvo me dejó molesto,Negativo,1
en general la atención fue me dejó molesto,Negativo,1
mi experiencia con el servicio fue me fue mal,Negativo,1
la verdad el servicio fue me fue excelente,Positivo,0
lamentablemente el trámite fue muy mala atención,Negativo,1
la verdad el proceso fue me dejó satisfecho,Positivo,0
en general la aplicación fue una porquería,Negativo,1
la verdad el trámite fue me sorprendió,Positivo,0
la verdad el sistema fue está chido,Positivo,0
mi experiencia con el trámite fue mal atendido,Negativo,1
en general la plataforma fue una maravilla,Positivo,0
la plataforma fue muy bien hecho,Positivo,0
en general la experiencia fue jala bien,Positivo,0
el servicio fue no cumplió,Negativo,1
lamentablemente la experiencia fue muy mala atención,Negativo,1
la atención estuvo frustrante,Negativo,1
el producto estuvo está horrible,Negativo,1
el trámite fue muy satisfecho,Positivo,0
en general el proceso fue funciona fatal,Negativo,1
mi experiencia con el servicio fue no sirve,Negativo,1
el sistema fue me hizo perder tiempo,Negativo,1
mi experiencia con la atención fue me encantó,Positivo,0
en general la experiencia fue genial,Positivo,0
la aplicación estuvo muy flojo,Negativo,1
en general el proceso fue muy mal hecho,Negativo,1
mi experiencia con el producto fue de lo mejor,Positivo,0
mi experiencia con la compra fue mal atendido,Negativo,1
en general el sistema fue frustrante,Negativo,1
lamentablemente el servicio fue frustrante,Negativo,1
la experiencia estuvo muy bueno,Positivo,0
en general la compra fue me gustó mucho,Positivo,0
en general el sistema fue muy bien hecho,Positivo,0
lamentablemente el proceso fue un desastre,Negativo,1
lamentablemente la experiencia fue muy mal hecho,Negativo,1
la experiencia fue quedé muy conforme,Positivo,0
lamentablemente la compra fue me hizo perder tiempo,Negativo,1
lamentablemente la plataforma fue muy mal hecho,Negativo,1
la verdad la experiencia fue muy buen servicio,Positivo,0
el producto fue un desastre,Negativo,1
la atención fue muy recomendable,Positivo,0
el trámite fue me gustó mucho,Positivo,0
la experiencia fue una maravilla,Positivo,0
el producto fue me gustó mucho,Positivo,0
en general la atención fue rápido y eficiente,Positivo,0
la experiencia fue genial,Positivo,0
lamentablemente la aplicación fue una basura,Negativo,1
la atención estuvo está chido,Positivo,0
el producto fue no lo recomiendo,Negativo,1
la compra fue muy buena experiencia,Positivo,0
en general la experiencia fue muy satisfecho,Positivo,0
la verdad el trámite fue una maravilla,Positivo,0
en general la compra fue recomendadísimo,Positivo,0
mi experiencia con el sistema fue quedé muy conforme,Positivo,0
en general el proceso fue una joya,Positivo,0
en general la experiencia fue fatal,Negativo,1
el proceso fue sin problemas,Positivo,0
mi experiencia con el servicio fue una basura,Negativo,1
en general el proceso fue genial,Positivo,0
el sistema fue no vale la pena,Negativo,1
mi experiencia con el trámite fue cumple totalmente,Positivo,0
en general el proceso fue muy malo,Negativo,1
la verdad la compra fue vale la pena,Positivo,0
mi experiencia con el servicio fue muy mala atención,Negativo,1
mi experiencia con la plataforma fue todo perfecto,Positivo,0
mi experiencia con la atención fue de lo mejor,Positivo,0
la plataforma fue decepcionante,Negativo,1
la verdad la compra fue funciona perfecto,Positivo,0
el sistema estuvo está chido,Positivo,0
mi experiencia con la experiencia fue un desastre,Negativo,1
mi experiencia con la compra fue muy buen servicio,Positivo,0
la plataforma fue experiencia horrible,Negativo,1
la atención estuvo muy satisfecho,Positivo,0
el trámite estuvo muy satisfecho,Positivo,0
lamentablemente el servicio fue terrible,Negativo,1
mi experiencia con el servicio fue me decepcionó,Negativo,1
el servicio estuvo una basura,Negativo,1
lamentablemente la plataforma fue está horrible,Negativo,1
la verdad la compra fue muy recomendable,Positivo,0
el proceso fue fatal,Negativo,1
la atención estuvo muy malo,Negativo,1
lamentablemente el servicio fue me dejó molesto,Negativo,1
mi experiencia con el servicio fue está chido,Positivo,0
lamentablemente el sistema fue una basura,Negativo,1
la aplicación estuvo muy recomendable,Positivo,0
mi experiencia con el trámite fue nada recomendable,Negativo,1
el trámite fue una porquería,Negativo,1
en general la aplicación fue bien padre,Positivo,0
la verdad la compra fue me encantó,Positivo,0
el trámite estuvo todo salió excelente,Positivo,0
en general la plataforma fue no lo recomiendo,Negativo,1
la experiencia estuvo un desastre,Negativo,1
en general el trámite fue todo salió bien,Positivo,0
la verdad la aplicación fue muy bueno,Positivo,0
el sistema fue me dejó molesto,Negativo,1
la aplicación estuvo muy buena experiencia,Positivo,0
lamentablemente el proceso fue malísimo,Negativo,1
mi experiencia con el servicio fue fatal,Negativo,1
la verdad la compra fue rápido y eficiente,Positivo,0
mi experiencia con el trámite fue me dejó molesto,Negativo,1
mi experiencia con la plataforma fue me dejó contento,Positivo,0
mi experiencia con la experiencia fue jala bien,Positivo,0
en general la aplicación fue está horrible,Negativo,1
en general la compra fue funciona fatal,Negativo,1
en general el trámite fue fatal,Negativo,1
el servicio fue un desastre,Negativo,1
la experiencia estuvo fatal,Negativo,1
en general la aplicación fue experiencia horrible,Negativo,1
en general la atención fue muy recomendable,Positivo,0
la plataforma estuvo una joya,Positivo,0
en general el proceso fue mal atendido,Negativo,1
la plataforma fue funciona perfecto,Positivo,0
en general la compra fue todo perfecto,Positivo,0
la verdad la compra fue muy bien hecho,Positivo,0
el sistema estuvo me encantó,Positivo,0
la compra estuvo está horrible,Negativo,1
lamentablemente la plataforma fue una porquería,Negativo,1
mi experiencia con el producto fue funciona fatal,Negativo,1
mi experiencia con la experiencia fue todo de lujo,Positivo,0
en general el producto fue muy bien hecho,Positivo,0
en general la plataforma fue muy malo,Negativo,1
la plataforma estuvo bien padre,Positivo,0
lamentablemente la plataforma fue experiencia horrible,Negativo,1
en general la compra fue no vale la pena,Negativo,1
la verdad la experiencia fue me fue excelente,Positivo,0
en general el trámite fue bien padre,Positivo,0
en general el sistema fue todo perfecto,Positivo,0
en general el producto fue frustrante,Negativo,1
la aplicación fue muy deficiente,Negativo,1
la verdad el servicio fue muy bien logrado,Positivo,0
el proceso fue todo salió bien,Positivo,0
mi experiencia con el proceso fue me fue excelente,Positivo,0
mi experiencia con el sistema fue me dejó contento,Positivo,0
el servicio fue está chido,Positivo,0
la compra fue no vale la pena,Negativo,1
la aplicación fue muy flojo,Negativo,1
mi experiencia con la plataforma fue frustrante,Negativo,1
lamentablemente la compra fue muy flojo,Negativo,1
la verdad el trámite fue rápido y eficiente,Positivo,0
la verdad la compra fue muy satisfecho,Positivo,0
lamentablemente el sistema fue experiencia horrible,Negativo,1
en general el trámite fue muy malo,Negativo,1
mi experiencia con el sistema fue nada recomendable,Negativo,1
mi experiencia con el producto fue experiencia horrible,Negativo,1
en general la plataforma fue muy flojo,Negativo,1
en general la plataforma fue bien padre,Positivo,0
la experiencia estuvo bien padre,Positivo,0
el sistema estuvo me hizo perder tiempo,Negativo,1
el sistema fue decepcionante,Negativo,1
la experiencia estuvo vale la pena,Positivo,0
en general la aplicación fue me fue mal,Negativo,1
mi experiencia con el trámite fue un desastre,Negativo,1
la experiencia estuvo decepcionante,Negativo,1
la plataforma fue funciona al cien,Positivo,0
en general la compra fue padrísimo,Positivo,0
en general el servicio fue muy chafa,Negativo,1
en general el producto fue funciona al cien,Positivo,0
la verdad la compra fue una maravilla,Positivo,0
mi experiencia con la aplicación fue una pérdida de tiempo,Negativo,1
en general la compra fue me fue excelente,Positivo,0
mi experiencia con la atención fue una pérdida de tiempo,Negativo,1
la plataforma estuvo me decepcionó,Negativo,1
mi experiencia con la plataforma fue decepcionante,Negativo,1
en general el servicio fue mala experiencia,Negativo,1
el sistema fue muy buen servicio,Positivo,0
en general el producto fue genial,Positivo,0
mi experiencia con el trámite fue funciona fatal,Negativo,1
la experiencia estuvo experiencia horrible,Negativo,1
lamentablemente el trámite fue terrible,Negativo,1
en general el trámite fue rápido y eficiente,Positivo,0
lamentablemente el sistema fue no sirve,Negativo,1
la compra estuvo quedé muy conforme,Positivo,0
en general el proceso fue funciona al cien,Positivo,0
en general la aplicación fue de lo mejor,Positivo,0
lamentablemente la experiencia fue muy flojo,Negativo,1
la verdad la compra fue recomendadísimo,Positivo,0
la verdad la plataforma fue me dejó satisfecho,Positivo,0
lamentablemente el sistema fue decepcionante,Negativo,1
mi experiencia con la experiencia fue me dejó molesto,Negativo,1
el servicio estuvo muy lento,Negativo,1
mi experiencia con el servicio fue funciona fatal,Negativo,1
en general la atención fue de primera,Positivo,0
la aplicación fue muy buena experiencia,Positivo,0
el proceso fue una maravilla,Positivo,0
la verdad el trámite fue cumple totalmente,Positivo,0
en general el producto fue fatal,Negativo,1
en general el producto fue funciona fatal,Negativo,1
la verdad el servicio fue una joya,Positivo,0
mi experiencia con la aplicación fue funciona perfecto,Positivo,0
en general la atención fue me sorprendió,Positivo,0
lamentablemente la compra fue funciona fatal,Negativo,1
la atención fue me sacó de quicio,Negativo,1
la plataforma fue muy satisfecho,Positivo,0
la verdad el proceso fue me fue excelente,Positivo,0
mi experiencia con el sistema fue muy malo,Negativo,1
el proceso fue me encantó,Positivo,0
la compra estuvo recomendadísimo,Positivo,0
el proceso fue muy buena experiencia,Positivo,0
lamentablemente el servicio fue funciona fatal,Negativo,1
en general el servicio fue me decepcionó,Negativo,1
el trámite fue me encantó,Positivo,0
la plataforma fue me sacó de quicio,Negativo,1
la verdad el producto fue todo perfecto,Positivo,0
en general el producto fue recomendadísimo,Positivo,0
el servicio estuvo me encantó,Positivo,0
mi experiencia con el sistema fue no sirve,Negativo,1
mi experiencia con la compra fue me dejó satisfecho,Positivo,0
mi experiencia con el sistema fue fatal,Negativo,1
la verdad la atención fue todo perfecto,Positivo,0
mi experiencia con el trámite fue muy bien hecho,Positivo,0
lamentablemente el producto fue muy chafa,Negativo,1
la verdad la aplicación fue de lo mejor,Positivo,0
la verdad el trámite fue una joya,Positivo,0
la atención estuvo una maravilla,Positivo,0
la compra fue padrísimo,Positivo,0
mi experiencia con el sistema fue todo salió excelente,Positivo,0
la plataforma estuvo no cumplió,Negativo,1
el sistema fue una porquería,Negativo,1
mi experiencia con la atención fue no sirve,Negativo,1
en general la aplicación fue muy bueno,Positivo,0
la atención fue me fue excelente,Positivo,0
la aplicación fue muy satisfecho,Positivo,0
la verdad el sistema fue todo salió bien,Positivo,0
la compra fue fatal,Negativo,1
la experiencia fue todo salió excelente,Positivo,0
la verdad la compra fue de primera,Positivo,0
el servicio fue me fue mal,Negativo,1
la aplicación fue me fue excelente,Positivo,0
la verdad el sistema fue cumple totalmente,Positivo,0
el proceso fue no vale la pena,Negativo,1
la aplicación fue rápido y eficiente,Positivo,0
mi experiencia con el producto fue no sirve,Negativo,1
la aplicación estuvo no cumplió,Negativo,1
el sistema fue terrible,Negativo,1
la experiencia estuvo malísimo,Negativo,1
mi experiencia con la atención fue no cumplió,Negativo,1
lamentablemente el producto fue pésimo servicio,Negativo,1
el producto fue terrible,Negativo,1
la compra fue me hizo perder tiempo,Negativo,1
en general el servicio fue frustrante,Negativo,1
la verdad la aplicación fue todo de lujo,Positivo,0
en general el trámite fue me sorprendió,Positivo,0
el producto estuvo está chido,Positivo,0
en general la atención fue me dejó satisfecho,Positivo,0
lamentablemente la experiencia fue experiencia horrible,Negativo,1
la compra estuvo pésimo,Negativo,1
mi experiencia con la plataforma fue está chido,Positivo,0
lamentablemente la compra fue terrible,Negativo,1
la verdad la aplicación fue jala bien,Positivo,0
la plataforma estuvo muy recomendable,Positivo,0
lamentablemente la experiencia fue una porquería,Negativo,1
