Frase,Sentimiento,Etiqueta
mi experiencia con la compra fue horrible,Negativo,1
mi opinión es que la aplicación fue de diez,Positivo,0
en general la experiencia fue muy bien logrado,Positivo,0
en general el sistema fue muy bien logrado,Positivo,0
la verdad el servicio fue cumple de sobra,Positivo,0
en general el proceso fue vale la pena,Positivo,0
mi opinión es que el sistema fue todo de primera,Positivo,0
mi experiencia con la experiencia fue pésimo,Negativo,1
mi experiencia con el sistema fue me dejó recaliente,Negativo,1
el trámite fue malísimo,Negativo,1
mi experiencia con la atención fue flojo,Negativo,1
en general el sistema fue anda para atrás,Negativo,1
lamentablemente el proceso fue poco serio,Negativo,1
la verdad la experiencia fue super conforme,Positivo,0
la aplicación fue cumple al 100,Positivo,0
en general la experiencia fue me dejó caliente,Negativo,1
en general el sistema fue re lento,Negativo,1
mi opinión es que la atención fue funciona perfecto,Positivo,0
mi opinión es que la compra fue anda bárbaro,Positivo,0
la verdad la aplicación fue me sorprendió para bien,Positivo,0
en general el proceso fue muy conforme,Positivo,0
el trámite fue muy buena onda,Positivo,0
en general el sistema fue de lujo,Positivo,0
en general el producto fue de diez,Positivo,0
el producto estuvo ineficiente,Negativo,1
el trámite estuvo buenísimo,Positivo,0
mi opinión es que la atención fue espectacular,Positivo,0
en general la plataforma fue muy flojo,Negativo,1
la experiencia fue sin drama,Positivo,0
la atención estuvo re malo,Negativo,1
en general el servicio fue no vale la pena,Negativo,1
la compra estuvo una vergüenza,Negativo,1
lamentablemente el sistema fue no cumple para nada,Negativo,1
la verdad la atención fue funciona perfecto,Positivo,0
lamentablemente el proceso fue horrible,Negativo,1
la atención estuvo re bien,Positivo,0
en general el sistema fue una masa,Positivo,0
mi experiencia con la experiencia fue anda para atrás,Negativo,1
mi experiencia con el trámite fue ineficiente,Negativo,1
lamentablemente la aplicación fue pésimo,Negativo,1
la plataforma estuvo mal atendido,Negativo,1
el sistema estuvo no sirve,Negativo,1
la verdad la aplicación fue joya,Positivo,0
la plataforma estuvo bárbaro,Positivo,0
mi opinión es que la atención fue genial,Positivo,0
la aplicación fue flojo,Negativo,1
el servicio estuvo me dejó caliente,Negativo,1
la verdad el proceso fue todo de primera,Positivo,0
el sistema fue anda bárbaro,Positivo,0
la verdad la aplicación fue re piola,Positivo,0
lamentablemente la experiencia fue mal organizado,Negativo,1
en general el sistema fue me hizo perder tiempo,Negativo,1
mi experiencia con el servicio fue no vale la pena,Negativo,1
la experiencia estuvo excelente experiencia,Positivo,0
el proceso fue anda perfecto,Positivo,0
en general la aplicación fue no vale la pena,Negativo,1
la atención estuvo muy buena onda,Positivo,0
la aplicación estuvo re malo,Negativo,1
en general la experiencia fue cumple de sobra,Positivo,0
en general el sistema fue no sirve,Negativo,1
en general el servicio fue genial,Positivo,0
lamentablemente la atención fue frustrante,Negativo,1
en general la plataforma fue frustrante,Negativo,1
en general el servicio fue lento,Negativo,1
mi experiencia con el servicio fue me dejó recaliente,Negativo,1
el servicio estuvo no cumple,Negativo,1
lamentablemente la plataforma fue re malo,Negativo,1
la experiencia fue mal organizado,Negativo,1
mi experiencia con el trámite fue poco serio,Negativo,1
en general el servicio fue me sorprendió para bien,Positivo,0
mi experiencia con el proceso fue frustrante,Negativo,1
mi experiencia con el producto fue una pérdida total,Negativo,1
el producto fue vale totalmente la pena,Positivo,0
mi opinión es que el trámite fue muy bien logrado,Positivo,0
la verdad el producto fue de primera,Positivo,0
mi experiencia con la compra fue frustrante,Negativo,1
lamentablemente la plataforma fue pésimo,Negativo,1
la compra estuvo excelente,Positivo,0
el servicio estuvo muy buena onda,Positivo,0
la verdad el servicio fue impecable,Positivo,0
mi opinión es que el proceso fue de diez,Positivo,0
la compra fue rápido y eficaz,Positivo,0
la verdad el trámite fue re bueno,Positivo,0
mi opinión es que el producto fue muy recomendable,Positivo,0
la aplicación estuvo lento,Negativo,1
mi experiencia con el servicio fue una cagada,Negativo,1
en general el producto fue me dejó recaliente,Negativo,1
la plataforma estuvo anda mal,Negativo,1
el servicio fue re bueno,Positivo,0
lamentablemente la atención fue mal atendido,Negativo,1
la aplicación fue de diez,Positivo,0
mi opinión es que el producto fue de primera,Positivo,0
en general el proceso fue impecable,Positivo,0
en general el producto fue horrible,Negativo,1
en general el trámite fue joya,Positivo,0
el producto estuvo mucho mejor de lo esperado,Positivo,0
lamentablemente la aplicación fue anda mal,Negativo,1
mi experiencia con el proceso fue pésimo,Negativo,1
mi experiencia con la atención fue funciona pésimo,Negativo,1
el trámite estuvo muy recomendable,Positivo,0
la aplicación fue espectacular,Positivo,0
lamentablemente la plataforma fue muy flojo,Negativo,1
lamentablemente la atención fue me hizo perder tiempo,Negativo,1
lamentablemente el servicio fue me dejó recaliente,Negativo,1
la verdad el sistema fue todo ok,Positivo,0
en general la atención fue mucho mejor de lo esperado,Positivo,0
el sistema fue una porquería,Negativo,1
en general el trámite fue funciona de diez,Positivo,0
lamentablemente el producto fue mal organizado,Negativo,1
el servicio estuvo buenísimo,Positivo,0
el servicio estuvo me hizo perder tiempo,Negativo,1
en general el servicio fue ineficiente,Negativo,1
lamentablemente la aplicación fue malísimo,Negativo,1
el producto fue de diez,Positivo,0
la experiencia fue me dejó re conforme,Positivo,0
la verdad la atención fue super conforme,Positivo,0
el proceso fue sin drama,Positivo,0
la aplicación fue copado,Positivo,0
mi experiencia con la plataforma fue una porquería,Negativo,1
la experiencia estuvo funciona mal,Negativo,1
en general la plataforma fue una masa,Positivo,0
mi experiencia con la aplicación fue lento,Negativo,1
la plataforma estuvo recomendable,Positivo,0
el proceso estuvo de diez,Positivo,0
la compra estuvo no cumple,Negativo,1
la experiencia fue funciona pésimo,Negativo,1
el sistema fue cumple al 100,Positivo,0
la verdad la experiencia fue de lujo,Positivo,0
el servicio estuvo me sorprendió para bien,Positivo,0
en general la experiencia fue joya,Positivo,0
mi experiencia con el trámite fue muy desprolijo,Negativo,1
el trámite estuvo horrible,Negativo,1
en general el servicio fue una cagada,Negativo,1
en general la experiencia fue me dejó re conforme,Positivo,0
lamentablemente la compra fue funciona pésimo,Negativo,1
la verdad la atención fue sin drama,Positivo,0
mi experiencia con el producto fue no recomendable,Negativo,1
el sistema estuvo una vergüenza,Negativo,1
lamentablemente el producto fue ineficiente,Negativo,1
la compra fue vale totalmente la pena,Positivo,0
lamentablemente el proceso fue una decepción,Negativo,1
en general el servicio fue funciona mal,Negativo,1
el trámite estuvo vale totalmente la pena,Positivo,0
en general el sistema fue frustrante,Negativo,1
mi opinión es que la aplicación fue funciona de diez,Positivo,0
mi opinión es que la aplicación fue de lujo,Positivo,0
la verdad el proceso fue re piola,Positivo,0
la plataforma fue mal atendido,Negativo,1
la atención fue me dejó re conforme,Positivo,0
lamentablemente el trámite fue me dejó caliente,Negativo,1
lamentablemente la aplicación fue de terror,Negativo,1
en general el producto fue ineficiente,Negativo,1
la compra estuvo pésimo,Negativo,1
en general el servicio fue anda mal,Negativo,1
el servicio estuvo super conforme,Positivo,0
el trámite fue poco serio,Negativo,1
la experiencia estuvo rápido y eficaz,Positivo,0
la verdad el servicio fue excelente experiencia,Positivo,0
la verdad la aplicación fue re bien,Positivo,0
la experiencia estuvo muy flojo,Negativo,1
en general el proceso fue una vergüenza,Negativo,1
la compra estuvo funciona perfecto,Positivo,0
el servicio fue excelente experiencia,Positivo,0
mi opinión es que el sistema fue recomendable,Positivo,0
en general la experiencia fue una porquería,Negativo,1
mi experiencia con el proceso fue flojo,Negativo,1
el sistema fue impecable,Positivo,0
la experiencia estuvo mucho mejor de lo esperado,Positivo,0
mi experiencia con el proceso fue me dejó recaliente,Negativo,1
el sistema fue cumple de sobra,Positivo,0
el producto estuvo buenísimo,Positivo,0
la experiencia estuvo una pérdida total,Negativo,1
en general el servicio fue una maravilla,Positivo,0
mi experiencia con el servicio fue impresentable,Negativo,1
el servicio fue muy malo,Negativo,1
la aplicación fue una maravilla,Positivo,0
el producto estuvo no sirve,Negativo,1
el sistema fue de lujo,Positivo,0
en general el proceso fue buenísimo,Positivo,0
en general la experiencia fue todo de primera,Positivo,0
mi experiencia con la atención fue me dejó caliente,Negativo,1
la verdad la plataforma fue re bien,Positivo,0
mi opinión es que el proceso fue excelente experiencia,Positivo,0
lamentablemente el servicio fue funciona mal,Negativo,1
el producto estuvo de diez,Positivo,0
en general el servicio fue no cumple para nada,Negativo,1
la aplicación estuvo no sirve,Negativo,1
en general la compra fue cumple de sobra,Positivo,0
mi opinión es que el proceso fue vale la pena,Positivo,0
en general el producto fue super conforme,Positivo,0
en general el producto fue excelente,Positivo,0
la compra fue funciona pésimo,Negativo,1
el servicio fue una cagada,Negativo,1
la aplicación estuvo no vale la pena,Negativo,1
en general la plataforma fue muy buena onda,Positivo,0
la verdad la compra fue todo ok,Positivo,0
la verdad el servicio fue una masa,Positivo,0
el trámite estuvo anda perfecto,Positivo,0
el sistema estuvo un gol,Positivo,0
lamentablemente la compra fue no vale la pena,Negativo,1
el producto estuvo muy recomendable,Positivo,0
en general el servicio fue una vergüenza,Negativo,1
la atención estuvo muy desprolijo,Negativo,1
en general la compra fue vale la pena,Positivo,0
lamentablemente la aplicación fue horrible,Negativo,1
mi opinión es que la aplicación fue rápido y eficaz,Positivo,0
en general el trámite fue un gol,Positivo,0
la plataforma estuvo me sorprendió para bien,Positivo,0
en general el proceso fue todo de primera,Positivo,0
la verdad el trámite fue de diez,Positivo,0
mi experiencia con el proceso fue re lento,Negativo,1
mi experiencia con la experiencia fue re lento,Negativo,1
lamentablemente la atención fue no cumple,Negativo,1
el producto estuvo me hizo perder tiempo,Negativo,1
lamentablemente el producto fue una pérdida de tiempo,Negativo,1
la plataforma fue recomendable,Positivo,0
en general la aplicación fue muy flojo,Negativo,1
el sistema fue ineficiente,Negativo,1
la experiencia estuvo horrible,Negativo,1
mi experiencia con la aplicación fue un desastre,Negativo,1
mi opinión es que la aplicación fue anda bárbaro,Positivo,0
la plataforma estuvo flojo,Negativo,1
el servicio estuvo experiencia horrible,Negativo,1
mi opinión es que la plataforma fue todo de primera,Positivo,0
la plataforma estuvo no cumple,Negativo,1
mi experiencia con la atención fue lento,Negativo,1
mi experiencia con el sistema fue no vale la pena,Negativo,1
en general el producto fue malísimo,Negativo,1
la compra estuvo anda perfecto,Positivo,0
en general la experiencia fue mal organizado,Negativo,1
la verdad el trámite fue sin drama,Positivo,0
el proceso estuvo no sirve,Negativo,1
lamentablemente el sistema fue malísimo,Negativo,1
la aplicación estuvo impecable,Positivo,0
en general el sistema fue vale la pena,Positivo,0
el sistema estuvo de lujo,Positivo,0
el trámite fue pésimo,Negativo,1
en general el sistema fue excelente experiencia,Positivo,0
la plataforma fue flojo,Negativo,1
mi opinión es que el proceso fue re bueno,Positivo,0
en general la plataforma fue muy bien logrado,Positivo,0
el trámite fue super conforme,Positivo,0
en general la aplicación fue impresentable,Negativo,1
la atención fue de diez,Positivo,0
en general el proceso fue una pérdida total,Negativo,1
mi opinión es que el servicio fue funciona perfecto,Positivo,0
la aplicación fue impresentable,Negativo,1
en general el producto fue una cagada,Negativo,1
lamentablemente el proceso fue funciona mal,Negativo,1
el proceso estuvo me dejó recaliente,Negativo,1
el producto fue cumple al 100,Positivo,0
lamentablemente el servicio fue mal atendido,Negativo,1
en general el trámite fue lento,Negativo,1
la verdad la plataforma fue de primera,Positivo,0
en general el producto fue no recomendable,Negativo,1
lamentablemente la aplicación fue una decepción,Negativo,1
en general el servicio fue horrible,Negativo,1
el servicio estuvo anda mal,Negativo,1
en general la experiencia fue mucho mejor de lo esperado,Positivo,0
mi experiencia con el servicio fue una vergüenza,Negativo,1
mi experiencia con la compra fue muy flojo,Negativo,1
la aplicación estuvo una cagada,Negativo,1
el sistema fue super conforme,Positivo,0
la plataforma fue todo ok,Positivo,0
en general el servicio fue re bien,Positivo,0
la plataforma fue desastroso,Negativo,1
la atención fue de terror,Negativo,1
el producto estuvo una pérdida de tiempo,Negativo,1
en general la plataforma fue me dejó caliente,Negativo,1
en general el proceso fue una cagada,Negativo,1
la aplicación fue bárbaro,Positivo,0
el proceso estuvo no recomendable,Negativo,1
la atención estuvo re bueno,Positivo,0
en general la aplicación fue de diez,Positivo,0
la experiencia fue funciona de diez,Positivo,0
mi experiencia con el proceso fue decepcionante,Negativo,1
el trámite fue una cagada,Negativo,1
la plataforma estuvo muy flojo,Negativo,1
en general el producto fue muy buena onda,Positivo,0
mi experiencia con la aplicación fue pésimo,Negativo,1
en general la atención fue anda para atrás,Negativo,1
en general la aplicación fue me sorprendió para bien,Positivo,0
en general la aplicación fue flojo,Negativo,1
en general el sistema fue un desastre,Negativo,1
en general la plataforma fue excelente,Positivo,0
la verdad la atención fue genial,Positivo,0
el proceso estuvo una masa,Positivo,0
la experiencia fue cumple al 100,Positivo,0
la verdad la atención fue anda bárbaro,Positivo,0
el producto estuvo bárbaro,Positivo,0
la verdad la atención fue buenísimo,Positivo,0
el trámite fue muy conforme,Positivo,0
el sistema estuvo muy bien logrado,Positivo,0
el trámite fue flojo,Negativo,1
la verdad la aplicación fue un gol,Positivo,0
el servicio estuvo anda bárbaro,Positivo,0
en general el producto fue mal atendido,Negativo,1
mi opinión es que la plataforma fue sin drama,Positivo,0
lamentablemente el producto fue una decepción,Negativo,1
mi experiencia con el servicio fue lento,Negativo,1
en general el proceso fue una decepción,Negativo,1
la verdad la aplicación fue super conforme,Positivo,0
en general la experiencia fue recomendable,Positivo,0
el servicio estuvo funciona mal,Negativo,1
lamentablemente la aplicación fue re lento,Negativo,1
la aplicación estuvo re bien,Positivo,0
el trámite estuvo una pérdida de tiempo,Negativo,1
la verdad el trámite fue me dejó re conforme,Positivo,0
mi experiencia con la aplicación fue mal atendido,Negativo,1
la atención estuvo una maravilla,Positivo,0
el servicio fue funciona de diez,Positivo,0
mi opinión es que la plataforma fue muy bien logrado,Positivo,0
la plataforma estuvo anda perfecto,Positivo,0
mi experiencia con la experiencia fue anda mal,Negativo,1
la verdad la plataforma fue copado,Positivo,0
el trámite estuvo re malo,Negativo,1
en general el servicio fue joya,Positivo,0
en general el proceso fue me dejó re conforme,Positivo,0
lamentablemente el sistema fue mal organizado,Negativo,1
en general la aplicación fue copado,Positivo,0
el producto fue muy buena onda,Positivo,0
la experiencia fue joya,Positivo,0
en general el proceso fue me dejó recaliente,Negativo,1
la experiencia fue muy conforme,Positivo,0
en general la plataforma fue vale la pena,Positivo,0
en general el servicio fue sin drama,Positivo,0
en general la atención fue todo ok,Positivo,0
mi experiencia con el sistema fue experiencia horrible,Negativo,1
la verdad el trámite fue anda bárbaro,Positivo,0
en general la compra fue genial,Positivo,0
en general la aplicación fue no cumple para nada,Negativo,1
lamentablemente el servicio fue de terror,Negativo,1
mi opinión es que el sistema fue funciona perfecto,Positivo,0
la verdad la experiencia fue muy bien logrado,Positivo,0
en general la compra fue desastroso,Negativo,1
mi experiencia con la aplicación fue me hizo perder tiempo,Negativo,1
mi opinión es que la compra fue espectacular,Positivo,0
el trámite fue experiencia horrible,Negativo,1
mi experiencia con la plataforma fue muy desprolijo,Negativo,1
el sistema fue un desastre,Negativo,1
el trámite estuvo anda para atrás,Negativo,1
mi experiencia con el proceso fue funciona pésimo,Negativo,1
mi experiencia con el sistema fue funciona mal,Negativo,1
mi opinión es que la aplicación fue impecable,Positivo,0
en general la compra fue de diez,Positivo,0
mi experiencia con el proceso fue desastroso,Negativo,1
lamentablemente la atención fue funciona mal,Negativo,1
en general el sistema fue super conforme,Positivo,0
la atención estuvo frustrante,Negativo,1
en general el proceso fue mal atendido,Negativo,1
la aplicación estuvo copado,Positivo,0
la atención fue una cagada,Negativo,1
la atención estuvo decepcionante,Negativo,1
el servicio estuvo un gol,Positivo,0
en general el sistema fue sin drama,Positivo,0
en general el sistema fue ineficiente,Negativo,1
el producto fue sin drama,Positivo,0
mi experiencia con el sistema fue poco serio,Negativo,1
la verdad la experiencia fue de diez,Positivo,0
mi opinión es que el producto fue re bien,Positivo,0
en general el servicio fue muy mal hecho,Negativo,1
mi opinión es que la compra fue cumple al 100,Positivo,0
la verdad el proceso fue bárbaro,Positivo,0
en general el proceso fue decepcionante,Negativo,1
en general el trámite fue vale totalmente la pena,Positivo,0
mi experiencia con el servicio fue funciona pésimo,Negativo,1
en general la atención fue recomendable,Positivo,0
la experiencia estuvo no cumple para nada,Negativo,1
la experiencia estuvo un gol,Positivo,0
en general la experiencia fue un gol,Positivo,0
el trámite estuvo una porquería,Negativo,1
en general el proceso fue anda bárbaro,Positivo,0
la atención fue anda perfecto,Positivo,0
la verdad la aplicación fue espectacular,Positivo,0
el proceso estuvo muy conforme,Positivo,0
la plataforma estuvo desastroso,Negativo,1
el proceso estuvo una maravilla,Positivo,0
el producto estuvo copado,Positivo,0
la experiencia estuvo pésimo,Negativo,1
lamentablemente la compra fue horrible,Negativo,1
la aplicación fue mal atendido,Negativo,1
la compra estuvo una masa,Positivo,0
la verdad el proceso fue anda perfecto,Positivo,0
en general la aplicación fue re lento,Negativo,1
mi experiencia con la atención fue muy flojo,Negativo,1
la verdad el servicio fue cumple al 100,Positivo,0
la aplicación estuvo desastroso,Negativo,1
en general el sistema fue una maravilla,Positivo,0
el sistema fue todo de primera,Positivo,0
en general la experiencia fue muy conforme,Positivo,0
lamentablemente la compra fue lento,Negativo,1
la verdad la atención fue de lujo,Positivo,0
en general la aplicación fue funciona perfecto,Positivo,0
mi experiencia con la atención fue no recomendable,Negativo,1
el producto estuvo me dejó caliente,Negativo,1
mi experiencia con la atención fue mal atendido,Negativo,1
en general la atención fue cumple al 100,Positivo,0
la compra estuvo frustrante,Negativo,1
en general la plataforma fue pésimo,Negativo,1
mi experiencia con el sistema fue ineficiente,Negativo,1
la plataforma fue muy flojo,Negativo,1
en general el producto fue me dejó re conforme,Positivo,0
mi opinión es que el trámite fue todo ok,Positivo,0
la experiencia estuvo funciona pésimo,Negativo,1
mi experiencia con la compra fue una pérdida total,Negativo,1
mi experiencia con la plataforma fue funciona pésimo,Negativo,1
la verdad la experiencia fue muy buena onda,Positivo,0
mi opinión es que el trámite fue buenísimo,Positivo,0
en general la compra fue anda bárbaro,Positivo,0
la experiencia fue excelente,Positivo,0
el trámite estuvo copado,Positivo,0
la atención fue cumple al 100,Positivo,0
el trámite estuvo cumple al 100,Positivo,0
la atención estuvo de primera,Positivo,0
en general el producto fue una porquería,Negativo,1
lamentablemente la aplicación fue muy desprolijo,Negativo,1
en general la compra fue una porquería,Negativo,1
en general la experiencia fue genial,Positivo,0
la verdad la compra fue vale la pena,Positivo,0
mi experiencia con el trámite fue no vale la pena,Negativo,1
lamentablemente la aplicación fue una pérdida de tiempo,Negativo,1
mi opinión es que el sistema fue impecable,Positivo,0
el proceso fue anda bárbaro,Positivo,0
el trámite estuvo de terror,Negativo,1
el servicio estuvo sin drama,Positivo,0
la verdad la compra fue super conforme,Positivo,0
el servicio fue decepcionante,Negativo,1
el servicio estuvo impresentable,Negativo,1
en general la atención fue no vale la pena,Negativo,1
mi opinión es que el proceso fue una masa,Positivo,0
el sistema fue funciona perfecto,Positivo,0
el proceso estuvo poco serio,Negativo,1
la verdad el servicio fue de primera,Positivo,0
mi opinión es que el sistema fue super conforme,Positivo,0
mi opinión es que el servicio fue excelente experiencia,Positivo,0
mi experiencia con el servicio fue no sirve,Negativo,1
la aplicación estuvo espectacular,Positivo,0
el sistema estuvo bárbaro,Positivo,0
la experiencia fue malísimo,Negativo,1
la atención fue no cumple para nada,Negativo,1
la verdad el proceso fue mucho mejor de lo esperado,Positivo,0
lamentablemente el sistema fue de terror,Negativo,1
la atención estuvo buenísimo,Positivo,0
la compra estuvo genial,Positivo,0
en general el servicio fue un desastre,Negativo,1
el trámite estuvo me dejó recaliente,Negativo,1
el producto fue frustrante,Negativo,1
lamentablemente la atención fue decepcionante,Negativo,1
la experiencia estuvo lento,Negativo,1
mi experiencia con el sistema fue muy flojo,Negativo,1
en general la aplicación fue re bueno,Positivo,0
lamentablemente el proceso fue una cagada,Negativo,1
la verdad la plataforma fue super conforme,Positivo,0
en general la compra fue poco serio,Negativo,1
el servicio estuvo vale totalmente la pena,Positivo,0
mi opinión es que el servicio fue me encantó,Positivo,0
el sistema estuvo mal organizado,Negativo,1
en general la aplicación fue anda mal,Negativo,1
mi experiencia con el producto fue anda mal,Negativo,1
mi opinión es que el proceso fue funciona perfecto,Positivo,0
en general la experiencia fue impresentable,Negativo,1
lamentablemente la atención fue lento,Negativo,1
mi experiencia con la compra fue lento,Negativo,1
en general el proceso fue no recomendable,Negativo,1
la plataforma fue decepcionante,Negativo,1
lamentablemente la experiencia fue malísimo,Negativo,1
el servicio fue malísimo,Negativo,1
en general el producto fue poco serio,Negativo,1
mi experiencia con el proceso fue lento,Negativo,1
el proceso fue re piola,Positivo,0
el proceso estuvo mal atendido,Negativo,1
la plataforma estuvo no recomendable,Negativo,1
la verdad el proceso fue de diez,Positivo,0
mi experiencia con el trámite fue experiencia horrible,Negativo,1
mi opinión es que el sistema fue vale totalmente la pena,Positivo,0
mi opinión es que la experiencia fue muy conforme,Positivo,0
mi opinión es que la compra fue muy buena onda,Positivo,0
en general la aplicación fue muy mal hecho,Negativo,1
el proceso estuvo una decepción,Negativo,1
en general el servicio fue poco serio,Negativo,1
el trámite estuvo excelente,Positivo,0
lamentablemente la experiencia fue pésimo,Negativo,1
lamentablemente la compra fue una vergüenza,Negativo,1
en general la atención fue de diez,Positivo,0
la plataforma estuvo excelente,Positivo,0
mi experiencia con el proceso fue anda mal,Negativo,1
el sistema fue me encantó,Positivo,0
en general el proceso fue excelente,Positivo,0
el sistema fue una cagada,Negativo,1
el producto estuvo super conforme,Positivo,0
la aplicación fue desastroso,Negativo,1
en general la plataforma fue no cumple,Negativo,1
lamentablemente el producto fue anda mal,Negativo,1
el trámite estuvo genial,Positivo,0
mi opinión es que la experiencia fue cumple de sobra,Positivo,0
en general la experiencia fue excelente experiencia,Positivo,0
el sistema estuvo experiencia horrible,Negativo,1
el sistema estuvo mucho mejor de lo esperado,Positivo,0
en general el producto fue no cumple para nada,Negativo,1
la compra estuvo re malo,Negativo,1
la verdad la experiencia fue re piola,Positivo,0
la compra estuvo cumple de sobra,Positivo,0
en general el producto fue cumple al 100,Positivo,0
el producto estuvo una porquería,Negativo,1
mi experiencia con el producto fue una decepción,Negativo,1
la experiencia estuvo joya,Positivo,0
la verdad el servicio fue un gol,Positivo,0
el producto estuvo una decepción,Negativo,1
en general la aplicación fue mal organizado,Negativo,1
la verdad el proceso fue genial,Positivo,0
mi opinión es que el sistema fue espectacular,Positivo,0
la verdad la compra fue bárbaro,Positivo,0
en general el trámite fue mucho mejor de lo esperado,Positivo,0
el servicio fue me encantó,Positivo,0
mi experiencia con la compra fue de terror,Negativo,1
la verdad el trámite fue todo ok,Positivo,0
en general la aplicación fue no cumple,Negativo,1
la plataforma estuvo una porquería,Negativo,1
la compra fue me dejó caliente,Negativo,1
la verdad la plataforma fue me encantó,Positivo,0
el sistema fue una vergüenza,Negativo,1
en general la plataforma fue muy desprolijo,Negativo,1
la plataforma estuvo muy mal hecho,Negativo,1
el sistema fue no sirve,Negativo,1
en general el trámite fue anda perfecto,Positivo,0
mi opinión es que la compra fue una maravilla,Positivo,0
el trámite estuvo desastroso,Negativo,1
la plataforma estuvo una pérdida de tiempo,Negativo,1
en general el sistema fue mucho mejor de lo esperado,Positivo,0
la experiencia estuvo funciona perfecto,Positivo,0
la aplicación estuvo pésimo,Negativo,1
en general el sistema fue me dejó recaliente,Negativo,1
el sistema fue flojo,Negativo,1
la atención estuvo mucho mejor de lo esperado,Positivo,0
mi experiencia con la aplicación fue una vergüenza,Negativo,1
en general el proceso fue todo ok,Positivo,0
en general el trámite fue funciona pésimo,Negativo,1
la plataforma fue de diez,Positivo,0
en general la compra fue vale totalmente la pena,Positivo,0
en general el proceso fue muy mal hecho,Negativo,1
en general el producto fue muy conforme,Positivo,0
mi experiencia con el producto fue lento,Negativo,1
la aplicación estuvo frustrante,Negativo,1
en general la aplicación fue una cagada,Negativo,1
mi opinión es que la aplicación fue re bien,Positivo,0
lamentablemente el sistema fue muy mal hecho,Negativo,1
la plataforma estuvo una vergüenza,Negativo,1
lamentablemente la plataforma fue lento,Negativo,1
la compra fue una pérdida total,Negativo,1
el sistema fue una masa,Positivo,0
en general la experiencia fue super conforme,Positivo,0
el servicio estuvo rápido y eficaz,Positivo,0
la compra estuvo me dejó recaliente,Negativo,1
lamentablemente la plataforma fue una vergüenza,Negativo,1
la plataforma estuvo excelente experiencia,Positivo,0
en general la plataforma fue me encantó,Positivo,0
el producto fue impresentable,Negativo,1
la aplicación estuvo vale totalmente la pena,Positivo,0
en general la atención fue decepcionante,Negativo,1
el proceso estuvo re bueno,Positivo,0
en general el servicio fue me dejó recaliente,Negativo,1
lamentablemente la compra fue una pérdida total,Negativo,1
la aplicación fue me sorprendió para bien,Positivo,0
la verdad la plataforma fue una masa,Positivo,0
el sistema estuvo flojo,Negativo,1
el proceso estuvo buenísimo,Positivo,0
la verdad el sistema fue muy buena onda,Positivo,0
mi opinión es que la compra fue funciona perfecto,Positivo,0
la aplicación estuvo de diez,Positivo,0
en general la atención fue excelente,Positivo,0
la compra estuvo me encantó,Positivo,0
la atención fue una decepción,Negativo,1
la verdad la plataforma fue muy bien logrado,Positivo,0
el sistema estuvo muy malo,Negativo,1
mi experiencia con el producto fue re malo,Negativo,1
la verdad el servicio fue una maravilla,Positivo,0
mi experiencia con la atención fue no cumple,Negativo,1
el proceso fue excelente,Positivo,0
en general la atención fue copado,Positivo,0
en general la atención fue no cumple,Negativo,1
mi experiencia con el trámite fue me hizo perder tiempo,Negativo,1
el sistema fue malísimo,Negativo,1
la verdad la compra fue funciona de diez,Positivo,0
el sistema fue muy bien logrado,Positivo,0
el servicio fue lento,Negativo,1
en general la aplicación fue muy buena onda,Positivo,0
lamentablemente el proceso fue desastroso,Negativo,1
mi experiencia con el sistema fue una pérdida total,Negativo,1
lamentablemente el trámite fue no cumple para nada,Negativo,1
lamentablemente la experiencia fue un desastre,Negativo,1
la atención estuvo lento,Negativo,1
la atención fue lento,Negativo,1
la plataforma fue rápido y eficaz,Positivo,0
mi experiencia con la plataforma fue una pérdida total,Negativo,1
el proceso estuvo lento,Negativo,1
en general el proceso fue funciona de diez,Positivo,0
la plataforma estuvo mucho mejor de lo esperado,Positivo,0
en general la compra fue copado,Positivo,0
la verdad la experiencia fue vale totalmente la pena,Positivo,0
en general el producto fue de primera,Positivo,0
el servicio estuvo impecable,Positivo,0
la verdad el proceso fue buenísimo,Positivo,0
en general la atención fue muy mal hecho,Negativo,1
en general el servicio fue mal organizado,Negativo,1
el proceso estuvo super conforme,Positivo,0
la verdad la atención fue impecable,Positivo,0
mi opinión es que la plataforma fue un gol,Positivo,0
mi opinión es que el trámite fue funciona de diez,Positivo,0
el proceso estuvo vale la pena,Positivo,0
en general el trámite fue pésimo,Negativo,1
lamentablemente la plataforma fue muy desprolijo,Negativo,1
en general la compra fue impecable,Positivo,0
la atención estuvo muy conforme,Positivo,0
la aplicación estuvo una vergüenza,Negativo,1
en general el trámite fue frustrante,Negativo,1
lamentablemente la atención fue horrible,Negativo,1
mi experiencia con el producto fue no cumple,Negativo,1
en general el producto fue frustrante,Negativo,1
mi opinión es que el sistema fue buenísimo,Positivo,0
la compra fue muy desprolijo,Negativo,1
la aplicación fue anda mal,Negativo,1
la plataforma fue un desastre,Negativo,1
lamentablemente el sistema fue un desastre,Negativo,1
la atención fue super conforme,Positivo,0
en general el proceso fue recomendable,Positivo,0
la verdad el producto fue todo de primera,Positivo,0
el proceso estuvo rápido y eficaz,Positivo,0
la experiencia fue todo ok,Positivo,0
mi opinión es que el proceso fue muy conforme,Positivo,0
mi experiencia con la atención fue una cagada,Negativo,1
el producto fue una cagada,Negativo,1
